strategy,bots,duration_s,total,blocked,allowed,block_rate,rps_total,rps_blocked,avg_lat_ms,p50_s,p95_s,p99_s
rate_limit,3,90,1761,1467,294,0.8330,19.50039000780016,15.90031800636013,1.683,0.0027511286681715574,0.008659090909090908,0.02212499999999992
rules,3,90,1702,1522,180,0.8942,18.540370807416153,16.740334806696136,2.585,0.00268539976825029,0.007451388888888876,0.02080576923076919
ml,3,90,1698,1581,117,0.9311,18.586204776241047,16.400656026241048,4.392,0.0038591433278418455,0.00986512027491409,0.02169605263157896
llm,3,150,360,0,360,0.0000,3.580143205728229,NaN,7891.602,2.0875000000000004,10,10
ml,1,90,900,824,76,0.9156,5.94,5.82,4.060,0.0037690355329949242,0.009389175257731959,0.010150000000000093
ml,5,90,2810,2450,360,0.8719,31.14,27.240000000000002,4.551,0.0035711009174311924,0.013659090909090886,0.023095454545454544
ml,10,90,5801,4826,975,0.8319,62.0812416248325,54.281085621712435,5.310,0.0039491094147582695,0.02326190476190475,0.04658181818181815
rate_limit,3,90,3129,2353,776,0.7520,18,17.64,3.688,0.002548131370328426,0.004841449603624009,0.008333333333333309
rules,3,90,1651,1561,90,0.9455,18.29116248161561,16.779664406711866,2.343,0.0027259389671361505,0.00832065217391305,0.023026000000000015
ml,3,90,1708,1474,234,0.8630,18.78112686761206,16.440986459187553,4.415,0.0037440191387559806,0.009854395604395605,0.021688157894736854
llm,3,150,326,0,326,0.0000,2.779944401111978,NaN,9490.176,9.250000000000004,10,10
ml,1,90,935,779,156,0.8332,6.2597496100156,5.47978080876765,3.483,0.003932160804020101,0.009390625,0.009949553571428573
ml,5,90,2910,2364,546,0.8124,29.702970297029704,29.102910291029104,6.110,0.004277073732718894,0.016395089285714263,0.024350446428571423
ml,10,90,5655,5070,585,0.8966,62.5387492250155,54.738905221895564,4.186,0.003546960072595282,0.014998287671232888,0.03737946428571437
rate_limit,3,90,3141,2361,780,0.7517,19.47337905112262,15.874602635104065,3.777,0.002802071346375144,0.009938596491228075,0.02247608695652176
rules,3,90,1705,1615,90,0.9472,18.380000000000003,16.94,2.140,0.002625714285714286,0.004988857142857143,0.020310869565217323
ml,3,90,1697,1473,224,0.8680,18.681120867252037,16.34098045882753,4.876,0.0038278688524590165,0.013236842105263161,0.023068421052631575
llm,3,150,277,0,277,0.0000,1.619967600647987,NaN,11611.993,10,10,10
ml,1,90,941,804,137,0.8544,6.279748810047598,5.4997800087996485,3.593,0.004220430107526882,0.009640495867768594,0.01964999999999992
ml,5,90,2940,2394,546,0.8143,31.278748850046,27.37890484380625,4.051,0.0034724689165186503,0.009648578811369508,0.02060799999999999
ml,10,90,5707,5083,624,0.8907,59.339999999999996,58.54,4.224,0.003089337775926697,0.009126976284584979,0.02011000000000002
